objname,e_mod0,mod0,v_gsr,mod_mpc
UGC09405,0.02,28.82,355.1,5.807644175
NGC5708,0.348,32.407,2816.3,30.29702603
UGC09448,0.4,33.13,2323.8,42.26686143
NGC5688,0.28,32.635,2666.4,33.65115694
IC4472,0.4,32.33,2740.1,29.24152378
NGC5730,0.4,32.2,2635.7,27.54228703
PGC052460,0.54,32.44,1847.7,30.76096815
ESO386-016,0.54,35.54,7176.9,128.2330583
ESO580-022,0.54,31.69,2158.7,21.77709772
IC1055,0.356,33.17,2860.7,43.05266105
ESO580-029,0.35,32.665,2526.7,34.11929116
NGC5756,0.349,31.919,2093.9,24.19914378
PGC052853,0.358,32.828,1998,36.77900704
PGC052882,0.19,35.19,12574.7,109.1440336
ESO580-041,0.346,32.326,2887.6,29.18770848
NGC5777,0.347,33.16,2294.2,42.85485204
PGC053093,0.54,33.19,2541.1,43.45102242
PGC053134,0.54,30.9,1939.6,15.13561248
NGC5770,0.29,31.367,1487.6,18.76722237
ESO273-014,0.38,28.21,926.2,4.385306978
NGC5786,0.63,32.02,2867.2,25.3512863
ESO327-039,0.4,31.82,2805.8,23.1206479
UGC09640,0.05,35.74,10071.9,140.6047524
PGC053634,0.35,33.005,2887.1,39.90249024
UGC09660,0.12,30.16,724.1,10.76465214
ESO223-009,0.015,29,462.3,6.309573445
PGC053764,0.54,32.99,2413.7,39.62780343
PGC053779,0.54,31.59,1839.9,20.79696687
PGC053796,0.54,33.38,2893.6,47.42419853
UGC09749,0.17,19.29,-92.1,0.072110748
ESO581-025,0.264,32.055,2222,25.76321157
NGC5878,0.109,32.249,1961.1,28.17085317
ESO274-001,0.056,27.235,406.6,2.79898132
PGC054411,0.24,31.53,1323.1,20.23019179
UGC09798,0.094,35.807,11336.5,145.0106836
ESO514-007,0.4,32.33,2242.6,29.24152378
PGC054774,0.034,38.894,18238.7,600.8969505
PGC054817,0.033,32.606,1932.3,33.20473358
ESO514-014,0.349,34.279,3635.7,71.74638109
ESO514-022,0.346,34.144,4388.5,67.42174676
NGC6000,0.62,32.65,2141.2,33.88441561
ESO515-010,0.54,34.39,5694.2,75.50922277
PGC056286,0.031,36.207,11091.4,174.3411876
UGC10095,0.4,32.47,2022.2,31.18889584
PGC056443,0.051,35.817,9715.5,145.6800225
ESO583-008,0.54,35.65,7377.3,134.8962883
PGC057064,0.079,36.371,10358.4,188.0182473
ESO451-008,0.54,34.58,4635,82.4138115
ESO136-024,0.2,33.53,4384.8,50.81594426
ESO584-007,0.04,35.65,9492.8,134.8962883
UGC10297,0.265,32.83,2411.6,36.81289736
ESO137-007,0.2,33.19,4839.2,43.45102242
ESO137-010,0.2,33.641,3283.4,53.48105921
IC4596,0.54,35.83,7606.3,146.5547841
NGC6106,0.254,31.892,1526.8,23.90011551
ESO137-018,0.055,28.844,483.6,5.87218866
NGC6172,0.057,34.638,5074.6,84.64474481
UGC10483,0.04,36.2,12384.4,173.7800829
ESO517-013,0.54,35.76,8275.2,141.9057522
PGC058798,0.178,31.643,1619.5,21.31081211
PGC059076,0.041,35.405,9000.7,120.503594
UGC05642,0.347,33.105,2222.6,41.78303666
UGC10743,0.042,33.053,2680.2,40.79434834
PGC059808,0.03,35.05,8275.2,102.3292992
NGC3279,0.272,32.466,1284.7,31.13149665
IC4660,0.54,30.04,1433.4,10.18591388
NGC6365,0.04,35.27,8216.1,113.2400363
ESO138-024,0.4,31.96,2760.7,24.66039337
UGC10852,0.54,32.56,2907.4,32.50872974
NGC6372,0.349,33.069,4913.1,41.09604233
UGC10874,0.37,35.531,6968.3,127.7026766
PGC060376,0.54,35.42,8883,121.338885
PGC060771,0.029,36.239,1991.8,176.9293981
UGC10985,0.4,31.07,1948.6,16.36816521
NGC6467,0.54,33.26,3194.7,44.87453899
NGC6484,0.487,33.614,3283.8,52.82019498
UGC11030,0.4,32.22,1875.4,27.79713268
UGC11041,0.372,34.225,5048,69.9841996
UGC11050,0.348,34.273,5049.6,71.54841214
ESO139-046,0.4,32.1,2720.7,26.30267992
