Objectname,distance_modulus,v_gsr,distance_mpc
IC4710,29.34,629.8,7.379042301
ESO321-010,32.934,2933.9,38.61890894
ESO435-050,33.354,2500.3,46.85975353
NGC1886,32.333,1599.6,29.28195036
ESO240-011,33.276,2793.7,45.20640796
IC4871,31.96,1859.4,24.66039337
ESO263-015,32.45,2300.7,30.90295433
NGC5170,32.334,1395.2,29.2954383
ESO564-027,32.758,1971.5,35.61229809
ESO435-014,32.888,2449.9,37.80941867
NGC1375,31.49,662.8,19.86094917
NGC1316,31.554,1669.5,20.45502431
NGC1380,31.522,1753,20.15579813
NGC3741,27.545,267.2,3.228494122
IC0335,31.558,1515.9,20.49273858
NGC0338,34.461,4930.9,78.01893183
NGC3489,30.387,606.1,11.95088315
ESO359-002,31.412,1299,19.16019832
ESO358-059,31.461,912.9,19.59746963
ESO358-006,31.554,1152.5,20.45502431
IC0356,31.67,1039.8,21.57744409
NGC2273,32.42,1925.3,30.4789499
UGC03205,33.85,3607.2,58.88436554
UGC03580,32,1320.2,25.11886432
NGC2654,32.499,1412.3,31.60821713
NGC5289,33.227,2598.2,44.19773361
NGC5533,33.383,3941,47.48976276
UGC06253,21.833,31.8,0.232594799
NGC3640,32.137,1199.2,26.75469473
NGC3557,33.277,2847.8,45.22723108
NGC5044,32.447,2581.1,30.86028979
NGC0891,29.967,660.2,9.84917831
NGC2523,32.84,3603.5,36.98281798
IC3653,30.925,506.8,15.31087462
IC3468,30.909,1241.3,15.19847453
IC3461,31.099,953.3,16.58822815
NGC3226,31.837,1235.3,23.30236497
NGC3073,32.617,1215.7,33.37336513
NGC0205,24.522,-62.1,0.802416776
NGC4352,31.329,2022.7,18.44165954
NGC4203,30.877,1080.8,14.97614375
NGC4143,31.533,997.4,20.25816015
NGC4283,30.957,986.9,15.5381747
NGC5273,31.159,1144.5,17.0529689
NGC4474,30.929,1561.9,15.33910428
NGC4578,31.039,2214.8,16.13615288
NGC4627,29.861,564.5,9.379938696
NGC6237,31.828,1318.2,23.20598462
NGC5574,31.867,1572.9,23.62653315
NGC5631,32.197,2086.3,27.50426223
NGC5845,32.574,1462.2,32.71899836
NGC6339,31.993,2289.5,25.03802104
NGC5869,31.98,2085.2,24.88857318
UGC05442,27.865,87.5,3.741105883
NGC0680,32.46,2918,31.04559588
NGC0584,31.497,1884.6,19.92507661
NGC1209,32.747,2587.7,35.43235349
NGC7332,31.787,1378.8,22.77193838
NGC2549,30.487,1139.5,12.51411092
NGC4926,34.871,7870.5,94.23234526
NGC4860,35.192,7994.1,109.2446053
IC4045,34.942,6982.9,97.36435698
IC3947,35.062,5666.1,102.8963572
NGC3351,29.985,676.9,9.931160484
NGC0959,30.066,710.7,10.3086074
NGC0337,31.305,1701.2,18.23895702
NGC3310,31.13,1045.4,16.82674061
NGC0536,33.916,5335.7,60.70158063
IC2166,32.406,2775.2,30.28307694
UGC03876,32.132,814.8,26.69316064
NGC3003,31.409,1448.6,19.13374581
NGC3147,32.944,2937.3,38.79716573
NGC5377,32.32,1894.9,29.10717118
NGC5297,32.31,2491.8,28.97343588
NGC5112,31.173,1032.6,17.16326863
NGC5376,33.64,2198.5,53.45643594
NGC5474,29.182,375.5,6.861198753
NGC5585,29.645,434,8.49180475
NGC5608,31.24,764.8,17.70108958
NGC6207,30.936,1011.5,15.3886315
IC1251,33.507,1360.6,50.28054773
